"Violent Crime Clearance"
"Current date: 9/3/2019 5:16:32 PM (Mountain Daylight Time)"
"Jurisdiction by Geography: Colorado"
"Incident Date: 2017"
"Offense Type","Incident Clearance","Number of Crimes","Number of Crimes Clearance Rate",
"Violent Crime","All Clearances","23,343","100.00"
"Violent Crime","Cleared","11,397","48.82"
"Murder","All Clearances","218","100.00"
"Murder","Cleared","160","73.39"
"Aggravated Assault","All Clearances","12,780","100.00"
"Aggravated Assault","Cleared","7,666","59.98"
"Non-consensual Sex Offenses","All Clearances","6,513","100.00"
"Non-consensual Sex Offenses","Cleared","2,328","35.74"
"Robbery","All Clearances","3,832","100.00"
"Robbery","Cleared","1,243","32.44"
