outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2002-03,Colorado,0.592246,0.561499,0.622287
Alcohol Use in the Past Month,12 or Older,2003-04,Colorado,0.587838,0.555057,0.619857
Alcohol Use in the Past Month,12 or Older,2004-05,Colorado,0.59426,0.562016,0.625712
Alcohol Use in the Past Month,12 or Older,2005-06,Colorado,0.586256,0.55428,0.617521
Alcohol Use in the Past Month,12 or Older,2006-07,Colorado,0.599991,0.56789,0.631256
Alcohol Use in the Past Month,12 or Older,2007-08,Colorado,0.621451,0.590627,0.651325
Alcohol Use in the Past Month,12 or Older,2008-09,Colorado,0.622182,0.591432,0.65198
Alcohol Use in the Past Month,12 or Older,2009-10,Colorado,0.626784,0.59309,0.659292
Alcohol Use in the Past Month,12 or Older,2010-11,Colorado,0.614454,0.582345,0.645597
Alcohol Use in the Past Month,12 or Older,2011-12,Colorado,0.591986,0.560483,0.622751
Alcohol Use in the Past Month,12 or Older,2012-13,Colorado,0.610347,0.579449,0.640384
Alcohol Use in the Past Month,12 or Older,2013-14,Colorado,0.615559,0.586914,0.643424
Alcohol Use in the Past Month,12 or Older,2014-15,Colorado,0.59217,0.564005,0.619741
Alcohol Use in the Past Month,12 or Older,2015-16,Colorado,0.575282,0.546564,0.6035
Alcohol Use in the Past Month,12 or Older,2016-17,Colorado,0.59481,0.56772,0.621335
