outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2002-03,Texas,0.472693,0.456392,0.489053
Alcohol Use in the Past Month,12 or Older,2003-04,Texas,0.467646,0.450918,0.484447
Alcohol Use in the Past Month,12 or Older,2004-05,Texas,0.486178,0.469067,0.503322
Alcohol Use in the Past Month,12 or Older,2005-06,Texas,0.495112,0.478511,0.511723
Alcohol Use in the Past Month,12 or Older,2006-07,Texas,0.476959,0.460415,0.493553
Alcohol Use in the Past Month,12 or Older,2007-08,Texas,0.47036,0.453698,0.487089
Alcohol Use in the Past Month,12 or Older,2008-09,Texas,0.484213,0.466582,0.501884
Alcohol Use in the Past Month,12 or Older,2009-10,Texas,0.491452,0.47244,0.510489
Alcohol Use in the Past Month,12 or Older,2010-11,Texas,0.496091,0.478449,0.513743
Alcohol Use in the Past Month,12 or Older,2011-12,Texas,0.481903,0.46502,0.498828
Alcohol Use in the Past Month,12 or Older,2012-13,Texas,0.467086,0.451408,0.48283
Alcohol Use in the Past Month,12 or Older,2013-14,Texas,0.472732,0.457182,0.488336
Alcohol Use in the Past Month,12 or Older,2014-15,Texas,0.478983,0.464263,0.49374
Alcohol Use in the Past Month,12 or Older,2015-16,Texas,0.47142,0.457286,0.485601
Alcohol Use in the Past Month,12 or Older,2016-17,Texas,0.471232,0.457195,0.485314
