outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2002-03,Texas,0.047877,0.042872,0.053433
Marijuana Use in the Past Month,12 or Older,2003-04,Texas,0.046879,0.042043,0.052242
Marijuana Use in the Past Month,12 or Older,2004-05,Texas,0.04648,0.041657,0.051831
Marijuana Use in the Past Month,12 or Older,2005-06,Texas,0.0434,0.038791,0.048528
Marijuana Use in the Past Month,12 or Older,2006-07,Texas,0.042445,0.037801,0.047631
Marijuana Use in the Past Month,12 or Older,2007-08,Texas,0.044274,0.039202,0.049969
Marijuana Use in the Past Month,12 or Older,2008-09,Texas,0.047421,0.042451,0.052942
Marijuana Use in the Past Month,12 or Older,2009-10,Texas,0.053999,0.048441,0.060155
Marijuana Use in the Past Month,12 or Older,2010-11,Texas,0.054691,0.048954,0.061058
Marijuana Use in the Past Month,12 or Older,2011-12,Texas,0.05109,0.045818,0.056933
Marijuana Use in the Past Month,12 or Older,2012-13,Texas,0.053106,0.047278,0.059608
Marijuana Use in the Past Month,12 or Older,2013-14,Texas,0.059404,0.053433,0.065995
Marijuana Use in the Past Month,12 or Older,2014-15,Texas,0.060952,0.054947,0.067567
Marijuana Use in the Past Month,12 or Older,2015-16,Texas,0.05914,0.05286,0.066115
Marijuana Use in the Past Month,12 or Older,2016-17,Texas,0.059768,0.053576,0.066624
