outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2002-03,United States,0.505017,0.499304,0.510728
Alcohol Use in the Past Month,12 or Older,2003-04,United States,0.501673,0.496153,0.507192
Alcohol Use in the Past Month,12 or Older,2004-05,United States,0.510531,0.504991,0.516068
Alcohol Use in the Past Month,12 or Older,2005-06,United States,0.513833,0.50824,0.519423
Alcohol Use in the Past Month,12 or Older,2006-07,United States,0.510716,0.504824,0.516606
Alcohol Use in the Past Month,12 or Older,2007-08,United States,0.513904,0.508317,0.519488
Alcohol Use in the Past Month,12 or Older,2008-09,United States,0.517366,0.511759,0.522969
Alcohol Use in the Past Month,12 or Older,2009-10,United States,0.518399,0.51286,0.523933
Alcohol Use in the Past Month,12 or Older,2010-11,United States,0.517899,0.512299,0.523495
Alcohol Use in the Past Month,12 or Older,2011-12,United States,0.519432,0.513947,0.524912
Alcohol Use in the Past Month,12 or Older,2012-13,United States,0.521333,0.515571,0.527089
Alcohol Use in the Past Month,12 or Older,2013-14,United States,0.524241,0.519093,0.529383
Alcohol Use in the Past Month,12 or Older,2014-15,United States,0.521751,0.51711,0.526388
Alcohol Use in the Past Month,12 or Older,2015-16,United States,0.51209,0.507559,0.51662
Alcohol Use in the Past Month,12 or Older,2016-17,United States,0.512107,0.507463,0.516748
