outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,18 to 25,2002-03,Colorado,0.688926,0.650997,0.724478
Alcohol Use in the Past Month,18 to 25,2003-04,Colorado,0.694074,0.657334,0.728502
Alcohol Use in the Past Month,18 to 25,2004-05,Colorado,0.692976,0.653598,0.729728
Alcohol Use in the Past Month,18 to 25,2005-06,Colorado,0.687396,0.647346,0.72483
Alcohol Use in the Past Month,18 to 25,2006-07,Colorado,0.690083,0.651441,0.726242
Alcohol Use in the Past Month,18 to 25,2007-08,Colorado,0.712626,0.674898,0.747612
Alcohol Use in the Past Month,18 to 25,2008-09,Colorado,0.695135,0.655492,0.732081
Alcohol Use in the Past Month,18 to 25,2009-10,Colorado,0.696043,0.65749,0.732025
Alcohol Use in the Past Month,18 to 25,2010-11,Colorado,0.703868,0.664955,0.74003
Alcohol Use in the Past Month,18 to 25,2011-12,Colorado,0.68078,0.644648,0.714864
Alcohol Use in the Past Month,18 to 25,2012-13,Colorado,0.685219,0.648593,0.719677
Alcohol Use in the Past Month,18 to 25,2013-14,Colorado,0.674605,0.638291,0.708936
Alcohol Use in the Past Month,18 to 25,2014-15,Colorado,0.675645,0.638418,0.710777
Alcohol Use in the Past Month,18 to 25,2015-16,Colorado,0.637519,0.600227,0.673227
Alcohol Use in the Past Month,18 to 25,2016-17,Colorado,0.626648,0.586224,0.665378
