outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Cigarette Use in the Past Month,12 or Older,2002-03,Colorado,0.267619,0.24219,0.29468
Cigarette Use in the Past Month,12 or Older,2003-04,Colorado,0.264886,0.238683,0.292858
Cigarette Use in the Past Month,12 or Older,2004-05,Colorado,0.225783,0.202671,0.250701
Cigarette Use in the Past Month,12 or Older,2005-06,Colorado,0.222189,0.2004,0.245618
Cigarette Use in the Past Month,12 or Older,2006-07,Colorado,0.242215,0.219312,0.266692
Cigarette Use in the Past Month,12 or Older,2007-08,Colorado,0.251647,0.227486,0.277451
Cigarette Use in the Past Month,12 or Older,2008-09,Colorado,0.223327,0.201144,0.247199
Cigarette Use in the Past Month,12 or Older,2009-10,Colorado,0.211497,0.188846,0.236074
Cigarette Use in the Past Month,12 or Older,2010-11,Colorado,0.222407,0.197457,0.249529
Cigarette Use in the Past Month,12 or Older,2011-12,Colorado,0.228666,0.20495,0.254248
Cigarette Use in the Past Month,12 or Older,2012-13,Colorado,0.212452,0.190548,0.23614
Cigarette Use in the Past Month,12 or Older,2013-14,Colorado,0.197683,0.17655,0.220667
Cigarette Use in the Past Month,12 or Older,2014-15,Colorado,0.197061,0.177727,0.217942
Cigarette Use in the Past Month,12 or Older,2015-16,Colorado,0.167639,0.149523,0.187466
Cigarette Use in the Past Month,12 or Older,2016-17,Colorado,0.158239,0.141024,0.177122
