outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Cigarette Use in the Past Month,12 or Older,2002-03,United States,0.257115,0.252467,0.261819
Cigarette Use in the Past Month,12 or Older,2003-04,United States,0.251633,0.246847,0.25648
Cigarette Use in the Past Month,12 or Older,2004-05,United States,0.248954,0.244548,0.253413
Cigarette Use in the Past Month,12 or Older,2005-06,United States,0.24957,0.244939,0.25426
Cigarette Use in the Past Month,12 or Older,2006-07,United States,0.246526,0.24183,0.251283
Cigarette Use in the Past Month,12 or Older,2007-08,United States,0.241161,0.236466,0.245919
Cigarette Use in the Past Month,12 or Older,2008-09,United States,0.236341,0.231833,0.24091
Cigarette Use in the Past Month,12 or Older,2009-10,United States,0.231599,0.227101,0.23616
Cigarette Use in the Past Month,12 or Older,2010-11,United States,0.225255,0.2209,0.229671
Cigarette Use in the Past Month,12 or Older,2011-12,United States,0.220887,0.216332,0.22551
Cigarette Use in the Past Month,12 or Older,2012-13,United States,0.216868,0.212353,0.221452
Cigarette Use in the Past Month,12 or Older,2013-14,United States,0.210456,0.206534,0.214432
Cigarette Use in the Past Month,12 or Older,2014-15,United States,0.20118,0.197445,0.204968
Cigarette Use in the Past Month,12 or Older,2015-16,United States,0.192292,0.188656,0.195982
Cigarette Use in the Past Month,12 or Older,2016-17,United States,0.184708,0.181083,0.188389
