outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Cigarette Use in the Past Month,18 to 25,2002-03,Colorado,0.445605,0.405541,0.48639
Cigarette Use in the Past Month,18 to 25,2003-04,Colorado,0.439539,0.400398,0.479446
Cigarette Use in the Past Month,18 to 25,2004-05,Colorado,0.408676,0.369262,0.4493
Cigarette Use in the Past Month,18 to 25,2005-06,Colorado,0.400995,0.36157,0.441744
Cigarette Use in the Past Month,18 to 25,2006-07,Colorado,0.420656,0.380985,0.461379
Cigarette Use in the Past Month,18 to 25,2007-08,Colorado,0.421769,0.382093,0.462482
Cigarette Use in the Past Month,18 to 25,2008-09,Colorado,0.364183,0.327144,0.402905
Cigarette Use in the Past Month,18 to 25,2009-10,Colorado,0.340123,0.30443,0.377728
Cigarette Use in the Past Month,18 to 25,2010-11,Colorado,0.35831,0.322397,0.395885
Cigarette Use in the Past Month,18 to 25,2011-12,Colorado,0.345224,0.309114,0.383212
Cigarette Use in the Past Month,18 to 25,2012-13,Colorado,0.341076,0.304858,0.379249
Cigarette Use in the Past Month,18 to 25,2013-14,Colorado,0.32449,0.288502,0.362678
Cigarette Use in the Past Month,18 to 25,2014-15,Colorado,0.296467,0.261009,0.334561
Cigarette Use in the Past Month,18 to 25,2015-16,Colorado,0.256163,0.221293,0.294449
Cigarette Use in the Past Month,18 to 25,2016-17,Colorado,0.255144,0.219076,0.294908
