outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Cigarette Use in the Past Month,18 to 25,2002-03,Texas,0.391825,0.37193,0.412086
Cigarette Use in the Past Month,18 to 25,2003-04,Texas,0.378962,0.35973,0.398581
Cigarette Use in the Past Month,18 to 25,2004-05,Texas,0.369991,0.350036,0.390399
Cigarette Use in the Past Month,18 to 25,2005-06,Texas,0.368406,0.348908,0.388343
Cigarette Use in the Past Month,18 to 25,2006-07,Texas,0.344279,0.32314,0.366054
Cigarette Use in the Past Month,18 to 25,2007-08,Texas,0.337724,0.318314,0.357698
Cigarette Use in the Past Month,18 to 25,2008-09,Texas,0.336384,0.317225,0.356096
Cigarette Use in the Past Month,18 to 25,2009-10,Texas,0.326151,0.30671,0.346209
Cigarette Use in the Past Month,18 to 25,2010-11,Texas,0.31731,0.298792,0.336425
Cigarette Use in the Past Month,18 to 25,2011-12,Texas,0.309975,0.290227,0.330441
Cigarette Use in the Past Month,18 to 25,2012-13,Texas,0.297034,0.2781,0.316691
Cigarette Use in the Past Month,18 to 25,2013-14,Texas,0.286349,0.266206,0.307377
Cigarette Use in the Past Month,18 to 25,2014-15,Texas,0.263356,0.24201,0.285875
Cigarette Use in the Past Month,18 to 25,2015-16,Texas,0.238648,0.219297,0.25914
Cigarette Use in the Past Month,18 to 25,2016-17,Texas,0.223763,0.203871,0.244998
