outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 or Older,2002-03,Colorado,0.038999,0.030402,0.0499
Cocaine Use in the Past Year,12 or Older,2003-04,Colorado,0.034246,0.026943,0.043439
Cocaine Use in the Past Year,12 or Older,2004-05,Colorado,0.027992,0.021921,0.035683
Cocaine Use in the Past Year,12 or Older,2005-06,Colorado,0.027894,0.021205,0.036616
Cocaine Use in the Past Year,12 or Older,2006-07,Colorado,0.031258,0.024063,0.040515
Cocaine Use in the Past Year,12 or Older,2007-08,Colorado,0.036526,0.027526,0.048321
Cocaine Use in the Past Year,12 or Older,2008-09,Colorado,0.032763,0.024577,0.043554
Cocaine Use in the Past Year,12 or Older,2009-10,Colorado,0.030598,0.022919,0.040743
Cocaine Use in the Past Year,12 or Older,2010-11,Colorado,0.025067,0.019084,0.032864
Cocaine Use in the Past Year,12 or Older,2011-12,Colorado,0.024095,0.018377,0.031535
Cocaine Use in the Past Year,12 or Older,2012-13,Colorado,0.026737,0.019921,0.035801
Cocaine Use in the Past Year,12 or Older,2013-14,Colorado,0.025658,0.018895,0.034756
Cocaine Use in the Past Year,12 or Older,2014-15,Colorado,0.027527,0.021063,0.035901
Cocaine Use in the Past Year,12 or Older,2015-16,Colorado,0.024181,0.018658,0.031287
Cocaine Use in the Past Year,12 or Older,2016-17,Colorado,0.02681,0.020679,0.034693
