outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,18 to 25,2002-03,Colorado,0.216673,0.185874,0.251001
Marijuana Use in the Past Month,18 to 25,2003-04,Colorado,0.189069,0.16039,0.221523
Marijuana Use in the Past Month,18 to 25,2004-05,Colorado,0.209658,0.178487,0.244653
Marijuana Use in the Past Month,18 to 25,2005-06,Colorado,0.211807,0.179429,0.24826
Marijuana Use in the Past Month,18 to 25,2006-07,Colorado,0.217559,0.185012,0.254047
Marijuana Use in the Past Month,18 to 25,2007-08,Colorado,0.234395,0.19904,0.273883
Marijuana Use in the Past Month,18 to 25,2008-09,Colorado,0.24181,0.207094,0.280288
Marijuana Use in the Past Month,18 to 25,2009-10,Colorado,0.263492,0.229339,0.300745
Marijuana Use in the Past Month,18 to 25,2010-11,Colorado,0.272599,0.237021,0.311339
Marijuana Use in the Past Month,18 to 25,2011-12,Colorado,0.268145,0.234737,0.304416
Marijuana Use in the Past Month,18 to 25,2012-13,Colorado,0.290498,0.254158,0.329737
Marijuana Use in the Past Month,18 to 25,2013-14,Colorado,0.312392,0.276636,0.35053
Marijuana Use in the Past Month,18 to 25,2014-15,Colorado,0.317456,0.281558,0.355664
Marijuana Use in the Past Month,18 to 25,2015-16,Colorado,0.321952,0.281553,0.365201
Marijuana Use in the Past Month,18 to 25,2016-17,Colorado,0.317394,0.276741,0.361038
