outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2002-03,Colorado,0.084905,0.071134,0.101053
Marijuana Use in the Past Month,12 or Older,2003-04,Colorado,0.073297,0.061234,0.087515
Marijuana Use in the Past Month,12 or Older,2004-05,Colorado,0.075309,0.063525,0.089071
Marijuana Use in the Past Month,12 or Older,2005-06,Colorado,0.077573,0.065206,0.092054
Marijuana Use in the Past Month,12 or Older,2006-07,Colorado,0.081342,0.068565,0.096255
Marijuana Use in the Past Month,12 or Older,2007-08,Colorado,0.092082,0.076931,0.10986
Marijuana Use in the Past Month,12 or Older,2008-09,Colorado,0.097656,0.081507,0.116598
Marijuana Use in the Past Month,12 or Older,2009-10,Colorado,0.112892,0.095472,0.133023
Marijuana Use in the Past Month,12 or Older,2010-11,Colorado,0.109815,0.093369,0.128745
Marijuana Use in the Past Month,12 or Older,2011-12,Colorado,0.104083,0.088125,0.122542
Marijuana Use in the Past Month,12 or Older,2012-13,Colorado,0.126995,0.108619,0.147964
Marijuana Use in the Past Month,12 or Older,2013-14,Colorado,0.149266,0.130265,0.170495
Marijuana Use in the Past Month,12 or Older,2014-15,Colorado,0.165651,0.145982,0.187389
Marijuana Use in the Past Month,12 or Older,2015-16,Colorado,0.159223,0.140902,0.179428
Marijuana Use in the Past Month,12 or Older,2016-17,Colorado,0.164301,0.145043,0.185562
Marijuana Use in the Past Month,12 to 17,2002-03,Colorado,0.098228,0.07902,0.121489
Marijuana Use in the Past Month,12 to 17,2003-04,Colorado,0.098274,0.078659,0.122133
Marijuana Use in the Past Month,12 to 17,2004-05,Colorado,0.092432,0.072828,0.11665
Marijuana Use in the Past Month,12 to 17,2005-06,Colorado,0.076013,0.060386,0.095275
Marijuana Use in the Past Month,12 to 17,2006-07,Colorado,0.081488,0.066562,0.099406
Marijuana Use in the Past Month,12 to 17,2007-08,Colorado,0.091267,0.073479,0.112836
Marijuana Use in the Past Month,12 to 17,2008-09,Colorado,0.101734,0.082055,0.125487
Marijuana Use in the Past Month,12 to 17,2009-10,Colorado,0.099088,0.079138,0.123394
Marijuana Use in the Past Month,12 to 17,2010-11,Colorado,0.107157,0.086996,0.131317
Marijuana Use in the Past Month,12 to 17,2011-12,Colorado,0.104707,0.084865,0.128537
Marijuana Use in the Past Month,12 to 17,2012-13,Colorado,0.111633,0.090789,0.136543
Marijuana Use in the Past Month,12 to 17,2013-14,Colorado,0.12557,0.103039,0.152193
Marijuana Use in the Past Month,12 to 17,2014-15,Colorado,0.111262,0.09017,0.136547
Marijuana Use in the Past Month,12 to 17,2015-16,Colorado,0.090776,0.072633,0.112899
Marijuana Use in the Past Month,12 to 17,2016-17,Colorado,0.090181,0.072895,0.111073
Marijuana Use in the Past Month,18 or Older,2002-03,Colorado,0.083359,0.068669,0.100851
Marijuana Use in the Past Month,18 or Older,2003-04,Colorado,0.070397,0.057708,0.085623
Marijuana Use in the Past Month,18 or Older,2004-05,Colorado,0.073325,0.060871,0.088088
Marijuana Use in the Past Month,18 or Older,2005-06,Colorado,0.077744,0.064687,0.093174
Marijuana Use in the Past Month,18 or Older,2006-07,Colorado,0.081325,0.067847,0.0972
Marijuana Use in the Past Month,18 or Older,2007-08,Colorado,0.092166,0.076038,0.111303
Marijuana Use in the Past Month,18 or Older,2008-09,Colorado,0.09723,0.079922,0.117805
Marijuana Use in the Past Month,18 or Older,2009-10,Colorado,0.114298,0.095618,0.136078
Marijuana Use in the Past Month,18 or Older,2010-11,Colorado,0.110085,0.092693,0.130271
Marijuana Use in the Past Month,18 or Older,2011-12,Colorado,0.104017,0.086996,0.123915
Marijuana Use in the Past Month,18 or Older,2012-13,Colorado,0.128569,0.109008,0.151045
Marijuana Use in the Past Month,18 or Older,2013-14,Colorado,0.151701,0.131324,0.174603
Marijuana Use in the Past Month,18 or Older,2014-15,Colorado,0.171216,0.150129,0.194585
Marijuana Use in the Past Month,18 or Older,2015-16,Colorado,0.166168,0.14637,0.188052
Marijuana Use in the Past Month,18 or Older,2016-17,Colorado,0.171771,0.151052,0.194681
Marijuana Use in the Past Month,18 to 25,2002-03,Colorado,0.216673,0.185874,0.251001
Marijuana Use in the Past Month,18 to 25,2003-04,Colorado,0.189069,0.16039,0.221523
Marijuana Use in the Past Month,18 to 25,2004-05,Colorado,0.209658,0.178487,0.244653
Marijuana Use in the Past Month,18 to 25,2005-06,Colorado,0.211807,0.179429,0.24826
Marijuana Use in the Past Month,18 to 25,2006-07,Colorado,0.217559,0.185012,0.254047
Marijuana Use in the Past Month,18 to 25,2007-08,Colorado,0.234395,0.19904,0.273883
Marijuana Use in the Past Month,18 to 25,2008-09,Colorado,0.24181,0.207094,0.280288
Marijuana Use in the Past Month,18 to 25,2009-10,Colorado,0.263492,0.229339,0.300745
Marijuana Use in the Past Month,18 to 25,2010-11,Colorado,0.272599,0.237021,0.311339
Marijuana Use in the Past Month,18 to 25,2011-12,Colorado,0.268145,0.234737,0.304416
Marijuana Use in the Past Month,18 to 25,2012-13,Colorado,0.290498,0.254158,0.329737
Marijuana Use in the Past Month,18 to 25,2013-14,Colorado,0.312392,0.276636,0.35053
Marijuana Use in the Past Month,18 to 25,2014-15,Colorado,0.317456,0.281558,0.355664
Marijuana Use in the Past Month,18 to 25,2015-16,Colorado,0.321952,0.281553,0.365201
Marijuana Use in the Past Month,18 to 25,2016-17,Colorado,0.317394,0.276741,0.361038
Marijuana Use in the Past Month,26 or Older,2002-03,Colorado,0.060119,0.045223,0.079513
