Criminal Activity Type,Number of Crimes,"Crime Rate (per 100,000)"
Buying/Receiving,57,1.15
Cultivating/Manufacturing/Publishing,240,4.85
Distributing/Selling,"1,744",35.27
Exploiting Children,2,0.04
Operating/Promoting/Assisting,23,0.47
Possessing/Concealing,"15,323",309.89
Transporting/Transmitting/Importing,43,0.87
Using/Consuming,"1,379",27.89
Juvenile Gang,,
Other Gang,,
No Gang Involvement,,
Animal Cruelty Simple/Gross Neglect,,
Animal Cruelty Intentional Abuse and Torture,,
Animal Cruelty Organized Abuse,,
Animal Sexual Abuse (Bestiality),,
Missing,,
