Drug Narcotics Criminal Activity Type,,
Current date: 9/3/2019 5:55:15 PM (Mountain Daylight Time),,
Jurisdiction by Geography: Colorado,,
Incident Date: 2014,,
Offense Type: Drug/Narcotic Violations,,
Criminal Activity Type,Number of Crimes,"Crime Rate (per 100,000)"
Buying/Receiving,78,1.45
Cultivating/Manufacturing/Publishing,220,4.1
Distributing/Selling,"1,637",30.51
Exploiting Children,1,0.02
Operating/Promoting/Assisting,21,0.39
Possessing/Concealing,"13,195",245.91
Transporting/Transmitting/Importing,74,1.38
Using/Consuming,"1,849",34.46
Juvenile Gang,,
Other Gang,,
No Gang Involvement,,
Animal Cruelty Simple/Gross Neglect,,
Animal Cruelty Intentional Abuse and Torture,,
Animal Cruelty Organized Abuse,,
Animal Sexual Abuse (Bestiality),,
Missing,,
