outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,18 to 25,2002-03,Texas,0.579855,0.558911,0.600515
Alcohol Use in the Past Month,18 to 25,2003-04,Texas,0.554831,0.533533,0.57593
Alcohol Use in the Past Month,18 to 25,2004-05,Texas,0.576487,0.554397,0.598274
Alcohol Use in the Past Month,18 to 25,2005-06,Texas,0.594922,0.574249,0.615263
Alcohol Use in the Past Month,18 to 25,2006-07,Texas,0.579668,0.558891,0.600167
Alcohol Use in the Past Month,18 to 25,2007-08,Texas,0.574975,0.552676,0.596972
Alcohol Use in the Past Month,18 to 25,2008-09,Texas,0.584896,0.560955,0.608442
Alcohol Use in the Past Month,18 to 25,2009-10,Texas,0.592309,0.568314,0.615872
Alcohol Use in the Past Month,18 to 25,2010-11,Texas,0.584549,0.562348,0.606413
Alcohol Use in the Past Month,18 to 25,2011-12,Texas,0.565653,0.545762,0.585334
Alcohol Use in the Past Month,18 to 25,2012-13,Texas,0.557431,0.537609,0.577072
Alcohol Use in the Past Month,18 to 25,2013-14,Texas,0.561135,0.539413,0.582626
Alcohol Use in the Past Month,18 to 25,2014-15,Texas,0.548639,0.524608,0.572444
Alcohol Use in the Past Month,18 to 25,2015-16,Texas,0.526637,0.502459,0.550691
Alcohol Use in the Past Month,18 to 25,2016-17,Texas,0.516495,0.489751,0.543144
