outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Average Annual Rate of First Use of Marijuana,18 to 25,2002-03,Texas,0.055505,0.047798,0.064371
Average Annual Rate of First Use of Marijuana,18 to 25,2003-04,Texas,0.050731,0.043623,0.058925
Average Annual Rate of First Use of Marijuana,18 to 25,2004-05,Texas,0.051063,0.043967,0.059232
Average Annual Rate of First Use of Marijuana,18 to 25,2005-06,Texas,0.048641,0.042436,0.055701
Average Annual Rate of First Use of Marijuana,18 to 25,2006-07,Texas,0.045412,0.038964,0.052868
Average Annual Rate of First Use of Marijuana,18 to 25,2007-08,Texas,0.049611,0.043084,0.057068
Average Annual Rate of First Use of Marijuana,18 to 25,2008-09,Texas,0.058589,0.051956,0.066009
Average Annual Rate of First Use of Marijuana,18 to 25,2009-10,Texas,0.064815,0.057568,0.072904
Average Annual Rate of First Use of Marijuana,18 to 25,2010-11,Texas,0.068616,0.060659,0.077531
Average Annual Rate of First Use of Marijuana,18 to 25,2011-12,Texas,0.068939,0.060642,0.078276
Average Annual Rate of First Use of Marijuana,18 to 25,2012-13,Texas,0.063425,0.055434,0.072481
Average Annual Rate of First Use of Marijuana,18 to 25,2013-14,Texas,0.060642,0.05215,0.070413
Average Annual Rate of First Use of Marijuana,18 to 25,2014-15,Texas,0.060787,0.051961,0.070999
Average Annual Rate of First Use of Marijuana,18 to 25,2015-16,Texas,0.054999,0.0473,0.063866
Average Annual Rate of First Use of Marijuana,18 to 25,2016-17,Texas,0.055631,0.047702,0.064787
