outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Average Annual Rate of First Use of Marijuana,18 to 25,2002-03,United States,0.068241,0.064997,0.071635
Average Annual Rate of First Use of Marijuana,18 to 25,2003-04,United States,0.06625,0.062921,0.069742
Average Annual Rate of First Use of Marijuana,18 to 25,2004-05,United States,0.061594,0.058423,0.064926
Average Annual Rate of First Use of Marijuana,18 to 25,2005-06,United States,0.060161,0.056962,0.063528
Average Annual Rate of First Use of Marijuana,18 to 25,2006-07,United States,0.062884,0.059397,0.066562
Average Annual Rate of First Use of Marijuana,18 to 25,2007-08,United States,0.065388,0.061974,0.068976
Average Annual Rate of First Use of Marijuana,18 to 25,2008-09,United States,0.070897,0.067481,0.074472
Average Annual Rate of First Use of Marijuana,18 to 25,2009-10,United States,0.072947,0.069427,0.07663
Average Annual Rate of First Use of Marijuana,18 to 25,2010-11,United States,0.073401,0.06963,0.077358
Average Annual Rate of First Use of Marijuana,18 to 25,2011-12,United States,0.076002,0.072279,0.0799
Average Annual Rate of First Use of Marijuana,18 to 25,2012-13,United States,0.074969,0.071522,0.078569
Average Annual Rate of First Use of Marijuana,18 to 25,2013-14,United States,0.076847,0.073153,0.080711
Average Annual Rate of First Use of Marijuana,18 to 25,2014-15,United States,0.07878,0.074634,0.083136
Average Annual Rate of First Use of Marijuana,18 to 25,2015-16,United States,0.0774,0.073319,0.081688
Average Annual Rate of First Use of Marijuana,18 to 25,2016-17,United States,0.079756,0.075554,0.084171
