outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,18 to 25,2002-03,Texas,0.128555,0.115359,0.143017
Marijuana Use in the Past Month,18 to 25,2003-04,Texas,0.126078,0.112934,0.140509
Marijuana Use in the Past Month,18 to 25,2004-05,Texas,0.127259,0.114152,0.141631
Marijuana Use in the Past Month,18 to 25,2005-06,Texas,0.120136,0.107316,0.134258
Marijuana Use in the Past Month,18 to 25,2006-07,Texas,0.110131,0.095897,0.126184
Marijuana Use in the Past Month,18 to 25,2007-08,Texas,0.116967,0.103824,0.13153
Marijuana Use in the Past Month,18 to 25,2008-09,Texas,0.134467,0.120478,0.149803
Marijuana Use in the Past Month,18 to 25,2009-10,Texas,0.147401,0.131732,0.164581
Marijuana Use in the Past Month,18 to 25,2010-11,Texas,0.146984,0.13239,0.162884
Marijuana Use in the Past Month,18 to 25,2011-12,Texas,0.137608,0.124094,0.152338
Marijuana Use in the Past Month,18 to 25,2012-13,Texas,0.138797,0.124939,0.153922
Marijuana Use in the Past Month,18 to 25,2013-14,Texas,0.150588,0.135296,0.167274
Marijuana Use in the Past Month,18 to 25,2014-15,Texas,0.150786,0.134442,0.168729
Marijuana Use in the Past Month,18 to 25,2015-16,Texas,0.145847,0.129069,0.164396
Marijuana Use in the Past Month,18 to 25,2016-17,Texas,0.146267,0.129269,0.165077
