outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Cigarette Use in the Past Month,18 to 25,2002-03,United States,0.404991,0.398318,0.411699
Cigarette Use in the Past Month,18 to 25,2003-04,United States,0.398849,0.392222,0.405514
Cigarette Use in the Past Month,18 to 25,2004-05,United States,0.392667,0.386023,0.399351
Cigarette Use in the Past Month,18 to 25,2005-06,United States,0.387291,0.380755,0.393866
Cigarette Use in the Past Month,18 to 25,2006-07,United States,0.373292,0.366354,0.380282
Cigarette Use in the Past Month,18 to 25,2007-08,United States,0.359672,0.35296,0.36644
Cigarette Use in the Past Month,18 to 25,2008-09,United States,0.357986,0.351424,0.364602
Cigarette Use in the Past Month,18 to 25,2009-10,United States,0.350913,0.344235,0.357649
Cigarette Use in the Past Month,18 to 25,2010-11,United States,0.339161,0.332262,0.346128
Cigarette Use in the Past Month,18 to 25,2011-12,United States,0.326539,0.319972,0.333175
Cigarette Use in the Past Month,18 to 25,2012-13,United States,0.31228,0.305595,0.319044
Cigarette Use in the Past Month,18 to 25,2013-14,United States,0.29491,0.288045,0.30187
Cigarette Use in the Past Month,18 to 25,2014-15,United States,0.275405,0.268437,0.282483
Cigarette Use in the Past Month,18 to 25,2015-16,United States,0.251167,0.244347,0.258113
Cigarette Use in the Past Month,18 to 25,2016-17,United States,0.229015,0.222552,0.235609
