outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Year,18 to 25,2002-03,Colorado,0.365715,0.329699,0.403297
Marijuana Use in the Past Year,18 to 25,2003-04,Colorado,0.311575,0.27485,0.350833
Marijuana Use in the Past Year,18 to 25,2004-05,Colorado,0.326038,0.286914,0.367747
Marijuana Use in the Past Year,18 to 25,2005-06,Colorado,0.3586,0.32042,0.398661
Marijuana Use in the Past Year,18 to 25,2006-07,Colorado,0.348226,0.310225,0.388263
Marijuana Use in the Past Year,18 to 25,2007-08,Colorado,0.356056,0.317378,0.396709
Marijuana Use in the Past Year,18 to 25,2008-09,Colorado,0.385898,0.346629,0.426711
Marijuana Use in the Past Year,18 to 25,2009-10,Colorado,0.409199,0.370662,0.448884
Marijuana Use in the Past Year,18 to 25,2010-11,Colorado,0.41287,0.373693,0.453181
Marijuana Use in the Past Year,18 to 25,2011-12,Colorado,0.393922,0.357257,0.431823
Marijuana Use in the Past Year,18 to 25,2012-13,Colorado,0.424241,0.385272,0.464176
Marijuana Use in the Past Year,18 to 25,2013-14,Colorado,0.439516,0.401479,0.478277
Marijuana Use in the Past Year,18 to 25,2014-15,Colorado,0.45239,0.412951,0.492436
Marijuana Use in the Past Year,18 to 25,2015-16,Colorado,0.47535,0.433442,0.517609
Marijuana Use in the Past Year,18 to 25,2016-17,Colorado,0.488089,0.445127,0.531227
