outcome,age_group,year_pair,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,18 to 25,2002-03,United States,0.171711,0.166599,0.176948
Marijuana Use in the Past Month,18 to 25,2003-04,United States,0.165754,0.160828,0.170801
Marijuana Use in the Past Month,18 to 25,2004-05,United States,0.163633,0.158542,0.168853
Marijuana Use in the Past Month,18 to 25,2005-06,United States,0.164421,0.159391,0.169576
Marijuana Use in the Past Month,18 to 25,2006-07,United States,0.163869,0.158773,0.169096
Marijuana Use in the Past Month,18 to 25,2007-08,United States,0.165245,0.160027,0.170599
Marijuana Use in the Past Month,18 to 25,2008-09,United States,0.174203,0.168766,0.179778
Marijuana Use in the Past Month,18 to 25,2009-10,United States,0.183894,0.178428,0.189488
Marijuana Use in the Past Month,18 to 25,2010-11,United States,0.187762,0.182184,0.193471
Marijuana Use in the Past Month,18 to 25,2011-12,United States,0.188852,0.183319,0.194512
Marijuana Use in the Past Month,18 to 25,2012-13,United States,0.189129,0.183701,0.194679
Marijuana Use in the Past Month,18 to 25,2013-14,United States,0.193232,0.187472,0.199126
Marijuana Use in the Past Month,18 to 25,2014-15,United States,0.19698,0.191032,0.203066
Marijuana Use in the Past Month,18 to 25,2015-16,United States,0.203022,0.197136,0.209037
Marijuana Use in the Past Month,18 to 25,2016-17,United States,0.214516,0.208395,0.220765
